[W1017 23:07:49.379333385 NNPACK.cpp:61] Could not initialize NNPACK! Reason: Unsupported hardware.
Training standard bot...
Generation 143/1000, Best Fitness: -0.9656
Generation 144/1000, Best Fitness: -0.9656
Generation 145/1000, Best Fitness: -0.9656
Generation 146/1000, Best Fitness: -0.9656
Generation 147/1000, Best Fitness: -0.9656
Generation 148/1000, Best Fitness: -0.9656
Generation 149/1000, Best Fitness: -0.9656
Generation 150/1000, Best Fitness: -0.9656
Generation 151/1000, Best Fitness: -0.9656
Generation 152/1000, Best Fitness: -0.9656
Generation 153/1000, Best Fitness: -0.9656
Generation 154/1000, Best Fitness: -0.9656
Generation 155/1000, Best Fitness: -0.9656
Generation 156/1000, Best Fitness: -0.9656
Generation 157/1000, Best Fitness: -0.9656
Generation 158/1000, Best Fitness: -0.9656
Generation 159/1000, Best Fitness: -0.9656
Generation 160/1000, Best Fitness: -0.9656
Generation 161/1000, Best Fitness: -0.9656
Generation 162/1000, Best Fitness: -0.9656
Generation 163/1000, Best Fitness: -0.9656
Generation 164/1000, Best Fitness: -0.9656
Generation 165/1000, Best Fitness: -0.9656
Generation 166/1000, Best Fitness: -0.9656
Generation 167/1000, Best Fitness: -0.9656
Generation 168/1000, Best Fitness: -0.9656
Generation 169/1000, Best Fitness: -0.9656
Generation 170/1000, Best Fitness: -0.9656
Generation 171/1000, Best Fitness: -0.9656
Generation 172/1000, Best Fitness: -0.9656
Generation 173/1000, Best Fitness: -0.9656
Generation 174/1000, Best Fitness: -0.9656
Generation 175/1000, Best Fitness: -0.9656
Generation 176/1000, Best Fitness: -0.9656
Generation 177/1000, Best Fitness: -0.9656
Generation 178/1000, Best Fitness: -0.9656
Generation 179/1000, Best Fitness: -0.9656
Generation 180/1000, Best Fitness: -0.9656
Generation 181/1000, Best Fitness: -0.9656
Generation 182/1000, Best Fitness: -0.9656
Generation 183/1000, Best Fitness: -0.9656
Generation 184/1000, Best Fitness: -0.9656
Generation 185/1000, Best Fitness: -0.9656
Generation 186/1000, Best Fitness: -0.9656
Generation 187/1000, Best Fitness: -0.9656
Generation 188/1000, Best Fitness: -0.9656
Generation 189/1000, Best Fitness: -0.9656
Generation 190/1000, Best Fitness: -0.9656
Generation 191/1000, Best Fitness: -0.9656
Generation 192/1000, Best Fitness: -0.9656
Generation 193/1000, Best Fitness: -0.9656
Generation 194/1000, Best Fitness: -0.9656
Generation 195/1000, Best Fitness: -0.9656
Generation 196/1000, Best Fitness: -0.9656
Generation 197/1000, Best Fitness: -0.9656
Generation 198/1000, Best Fitness: -0.9656
Generation 199/1000, Best Fitness: -0.9656
Generation 200/1000, Best Fitness: -0.9656
Generation 201/1000, Best Fitness: -0.9656
Generation 202/1000, Best Fitness: -0.9656
Generation 203/1000, Best Fitness: -0.9656
Generation 204/1000, Best Fitness: -0.9656
Generation 205/1000, Best Fitness: -0.9656
Generation 206/1000, Best Fitness: -0.9656
Generation 207/1000, Best Fitness: -0.9656
Generation 208/1000, Best Fitness: -0.9656
Generation 209/1000, Best Fitness: -0.9656
Generation 210/1000, Best Fitness: -0.9656
Generation 211/1000, Best Fitness: -0.9656
Generation 212/1000, Best Fitness: -0.9656
Generation 213/1000, Best Fitness: -0.9656
Generation 214/1000, Best Fitness: -0.9656
Generation 215/1000, Best Fitness: -0.9656
Generation 216/1000, Best Fitness: -0.9656
Generation 217/1000, Best Fitness: -0.9656
Generation 218/1000, Best Fitness: -0.9656
Generation 219/1000, Best Fitness: -0.9656
Generation 220/1000, Best Fitness: -0.9656
Generation 221/1000, Best Fitness: -0.9656
Generation 222/1000, Best Fitness: -0.9656
Generation 223/1000, Best Fitness: -0.9656
Generation 224/1000, Best Fitness: -0.9656
Generation 225/1000, Best Fitness: -0.9656
Generation 226/1000, Best Fitness: -0.9656
Generation 227/1000, Best Fitness: -0.9656
Generation 228/1000, Best Fitness: -0.9656
Generation 229/1000, Best Fitness: -0.9656
Generation 230/1000, Best Fitness: -0.9656
Generation 231/1000, Best Fitness: -0.9656
Generation 232/1000, Best Fitness: -0.9656
Generation 233/1000, Best Fitness: -0.9656
Generation 234/1000, Best Fitness: -0.9656
Generation 235/1000, Best Fitness: -0.9656
Generation 236/1000, Best Fitness: -0.9656
Generation 237/1000, Best Fitness: -0.9656
Generation 238/1000, Best Fitness: -0.9656
Generation 239/1000, Best Fitness: -0.9656
Generation 240/1000, Best Fitness: -0.9656
Generation 241/1000, Best Fitness: -0.9656
Generation 242/1000, Best Fitness: -0.9656
Generation 243/1000, Best Fitness: -0.9656
Generation 244/1000, Best Fitness: -0.9656
Generation 245/1000, Best Fitness: -0.9656
Generation 246/1000, Best Fitness: -0.9656
Generation 247/1000, Best Fitness: -0.9656
Generation 248/1000, Best Fitness: -0.9656
Generation 249/1000, Best Fitness: -0.9656
Generation 250/1000, Best Fitness: -0.9656
Generation 251/1000, Best Fitness: -0.9656
Generation 252/1000, Best Fitness: -0.9656
Generation 253/1000, Best Fitness: -0.9656
Generation 254/1000, Best Fitness: -0.9656
Generation 255/1000, Best Fitness: -0.9656
Generation 256/1000, Best Fitness: -0.9656
Generation 257/1000, Best Fitness: -0.9656
Generation 258/1000, Best Fitness: -0.9656
Generation 259/1000, Best Fitness: -0.9656
Generation 260/1000, Best Fitness: -0.9656
Generation 261/1000, Best Fitness: -0.9656
Generation 262/1000, Best Fitness: -0.9656
Generation 263/1000, Best Fitness: -0.9656
Generation 264/1000, Best Fitness: -0.9656
Generation 265/1000, Best Fitness: -0.9656
Generation 266/1000, Best Fitness: -0.9656
Generation 267/1000, Best Fitness: -0.9656
Generation 268/1000, Best Fitness: -0.9656
Generation 269/1000, Best Fitness: -0.9656
Generation 270/1000, Best Fitness: -0.9656
Generation 271/1000, Best Fitness: -0.9656
Generation 272/1000, Best Fitness: -0.9656
Generation 273/1000, Best Fitness: -0.9656
Generation 274/1000, Best Fitness: -0.9656
Generation 275/1000, Best Fitness: -0.9656
Generation 276/1000, Best Fitness: -0.9656
Generation 277/1000, Best Fitness: -0.9656
Generation 278/1000, Best Fitness: -0.9656
Generation 279/1000, Best Fitness: -0.9656
Generation 280/1000, Best Fitness: -0.9656
Generation 281/1000, Best Fitness: -0.9656
Generation 282/1000, Best Fitness: -0.9656
Generation 283/1000, Best Fitness: -0.9656
Generation 284/1000, Best Fitness: -0.9656
Generation 285/1000, Best Fitness: -0.9656
Generation 286/1000, Best Fitness: -0.9656
Generation 287/1000, Best Fitness: -0.9656
Generation 288/1000, Best Fitness: -0.9656
Generation 289/1000, Best Fitness: -0.9656
Generation 290/1000, Best Fitness: -0.9656
Generation 291/1000, Best Fitness: -0.9656
Generation 292/1000, Best Fitness: -0.9656
Generation 293/1000, Best Fitness: -0.9656
Generation 294/1000, Best Fitness: -0.9656
Generation 295/1000, Best Fitness: -0.9656
Generation 296/1000, Best Fitness: -0.9656
Generation 297/1000, Best Fitness: -0.9656
Generation 298/1000, Best Fitness: -0.9656
Generation 299/1000, Best Fitness: -0.9656
Generation 300/1000, Best Fitness: -0.9656
Generation 301/1000, Best Fitness: -0.9656
Generation 302/1000, Best Fitness: -0.9656
Generation 303/1000, Best Fitness: -0.9656
Generation 304/1000, Best Fitness: -0.9656
Generation 305/1000, Best Fitness: -0.9656
Generation 306/1000, Best Fitness: -0.9656
Generation 307/1000, Best Fitness: -0.9656
Generation 308/1000, Best Fitness: -0.9656
Generation 309/1000, Best Fitness: -0.9656
Generation 310/1000, Best Fitness: -0.9656
Generation 311/1000, Best Fitness: -0.9656
Generation 312/1000, Best Fitness: -0.9656
Generation 313/1000, Best Fitness: -0.9656
Generation 314/1000, Best Fitness: -0.9656
Generation 315/1000, Best Fitness: -0.9656
Generation 316/1000, Best Fitness: -0.9656
Generation 317/1000, Best Fitness: -0.9656
Generation 318/1000, Best Fitness: -0.9656
Generation 319/1000, Best Fitness: -0.9656
Generation 320/1000, Best Fitness: -0.9656
Generation 321/1000, Best Fitness: -0.9656
Generation 322/1000, Best Fitness: -0.9656
Generation 323/1000, Best Fitness: -0.9656
Generation 324/1000, Best Fitness: -0.9656
Generation 325/1000, Best Fitness: -0.9656
Generation 326/1000, Best Fitness: -0.9656
Generation 327/1000, Best Fitness: -0.9656
Generation 328/1000, Best Fitness: -0.9656
Generation 329/1000, Best Fitness: -0.9656
Generation 330/1000, Best Fitness: -0.9656
Generation 331/1000, Best Fitness: -0.9656
Generation 332/1000, Best Fitness: -0.9656
Generation 333/1000, Best Fitness: -0.9656
Generation 334/1000, Best Fitness: -0.9656
Generation 335/1000, Best Fitness: -0.9656
Generation 336/1000, Best Fitness: -0.9656
Generation 337/1000, Best Fitness: -0.9656
Generation 338/1000, Best Fitness: -0.9656
Generation 339/1000, Best Fitness: -0.9656
Generation 340/1000, Best Fitness: -0.9656
Generation 341/1000, Best Fitness: -0.9656
Generation 342/1000, Best Fitness: -0.9656
Generation 343/1000, Best Fitness: -0.9656
Generation 344/1000, Best Fitness: -0.9656
Generation 345/1000, Best Fitness: -0.9656
Generation 346/1000, Best Fitness: -0.9656
Generation 347/1000, Best Fitness: -0.9656
Generation 348/1000, Best Fitness: -0.9656
Generation 349/1000, Best Fitness: -0.9656
Generation 350/1000, Best Fitness: -0.9656
Generation 351/1000, Best Fitness: -0.9656
Generation 352/1000, Best Fitness: -0.9656
Generation 353/1000, Best Fitness: -0.9656
Generation 354/1000, Best Fitness: -0.9656
Generation 355/1000, Best Fitness: -0.9656
Generation 356/1000, Best Fitness: -0.9656
Generation 357/1000, Best Fitness: -0.9656
Generation 358/1000, Best Fitness: -0.9656
Generation 359/1000, Best Fitness: -0.9656
Generation 360/1000, Best Fitness: -0.9656
Generation 361/1000, Best Fitness: -0.9656
Generation 362/1000, Best Fitness: -0.9656
Generation 363/1000, Best Fitness: -0.9656
Generation 364/1000, Best Fitness: -0.9656
Generation 365/1000, Best Fitness: -0.9656
Generation 366/1000, Best Fitness: -0.9656
Generation 367/1000, Best Fitness: -0.9656
Generation 368/1000, Best Fitness: -0.9656
Generation 369/1000, Best Fitness: -0.9656
Generation 370/1000, Best Fitness: -0.9656
Generation 371/1000, Best Fitness: -0.9656
Generation 372/1000, Best Fitness: -0.9656
Generation 373/1000, Best Fitness: -0.9656
Generation 374/1000, Best Fitness: -0.9656
Generation 375/1000, Best Fitness: -0.9656
Generation 376/1000, Best Fitness: -0.9656
Generation 377/1000, Best Fitness: -0.9656
Generation 378/1000, Best Fitness: -0.9656
Generation 379/1000, Best Fitness: -0.9656
Generation 380/1000, Best Fitness: -0.9656
Generation 381/1000, Best Fitness: -0.9656
Generation 382/1000, Best Fitness: -0.9656
Generation 383/1000, Best Fitness: -0.9656
Generation 384/1000, Best Fitness: -0.9656
Generation 385/1000, Best Fitness: -0.9656
Generation 386/1000, Best Fitness: -0.9656
Generation 387/1000, Best Fitness: -0.9656
Generation 388/1000, Best Fitness: -0.9656
Generation 389/1000, Best Fitness: -0.9656
Generation 390/1000, Best Fitness: -0.9656
Generation 391/1000, Best Fitness: -0.9656
Generation 392/1000, Best Fitness: -0.9656
Generation 393/1000, Best Fitness: -0.9656
Generation 394/1000, Best Fitness: -0.9656
Generation 395/1000, Best Fitness: -0.9656
Generation 396/1000, Best Fitness: -0.9656
Generation 397/1000, Best Fitness: -0.9656
Generation 398/1000, Best Fitness: -0.9656
Generation 399/1000, Best Fitness: -0.9656
Generation 400/1000, Best Fitness: -0.9656
Generation 401/1000, Best Fitness: -0.9656
Generation 402/1000, Best Fitness: -0.9656
Generation 403/1000, Best Fitness: -0.9656
Generation 404/1000, Best Fitness: -0.9656
Generation 405/1000, Best Fitness: -0.9656
Generation 406/1000, Best Fitness: -0.9656
Generation 407/1000, Best Fitness: -0.9656
Generation 408/1000, Best Fitness: -0.9656
Generation 409/1000, Best Fitness: -0.9656
Generation 410/1000, Best Fitness: -0.9656
Generation 411/1000, Best Fitness: -0.9656
Generation 412/1000, Best Fitness: -0.9656
Generation 413/1000, Best Fitness: -0.9656
Generation 414/1000, Best Fitness: -0.9656
Generation 415/1000, Best Fitness: -0.9656
Generation 416/1000, Best Fitness: -0.9656
Generation 417/1000, Best Fitness: -0.9656
Generation 418/1000, Best Fitness: -0.9656
Generation 419/1000, Best Fitness: -0.9656
Generation 420/1000, Best Fitness: -0.9656
Generation 421/1000, Best Fitness: -0.9656
Generation 422/1000, Best Fitness: -0.9656
Generation 423/1000, Best Fitness: -0.9656
Generation 424/1000, Best Fitness: -0.9656
Generation 425/1000, Best Fitness: -0.9656
Generation 426/1000, Best Fitness: -0.9656
Generation 427/1000, Best Fitness: -0.9656
Generation 428/1000, Best Fitness: -0.9656
Generation 429/1000, Best Fitness: -0.9656
Generation 430/1000, Best Fitness: -0.9656
Generation 431/1000, Best Fitness: -0.9656
Generation 432/1000, Best Fitness: -0.9656
Generation 433/1000, Best Fitness: -0.9656
Generation 434/1000, Best Fitness: -0.9656
Generation 435/1000, Best Fitness: -0.9656
Generation 436/1000, Best Fitness: -0.9656
Generation 437/1000, Best Fitness: -0.9656
Generation 438/1000, Best Fitness: -0.9656
Generation 439/1000, Best Fitness: -0.9656
Generation 440/1000, Best Fitness: -0.9656
Generation 441/1000, Best Fitness: -0.9656
Generation 442/1000, Best Fitness: -0.9656
Generation 443/1000, Best Fitness: -0.9656
Generation 444/1000, Best Fitness: -0.9656
Generation 445/1000, Best Fitness: -0.9656
Generation 446/1000, Best Fitness: -0.9656
Generation 447/1000, Best Fitness: -0.9656
Generation 448/1000, Best Fitness: -0.9656
Generation 449/1000, Best Fitness: -0.9656
Generation 450/1000, Best Fitness: -0.9656
Generation 451/1000, Best Fitness: -0.9656
Generation 452/1000, Best Fitness: -0.9656
Generation 453/1000, Best Fitness: -0.9656
Generation 454/1000, Best Fitness: -0.9656
Generation 455/1000, Best Fitness: -0.9656
Generation 456/1000, Best Fitness: -0.9656
Generation 457/1000, Best Fitness: -0.9656
Generation 458/1000, Best Fitness: -0.9656
Generation 459/1000, Best Fitness: -0.9656
Generation 460/1000, Best Fitness: -0.9656
Generation 461/1000, Best Fitness: -0.9656
Generation 462/1000, Best Fitness: -0.9656
Generation 463/1000, Best Fitness: -0.9656
Generation 464/1000, Best Fitness: -0.9656
Generation 465/1000, Best Fitness: -0.9656
Generation 466/1000, Best Fitness: -0.9656
Generation 467/1000, Best Fitness: -0.9656
Generation 468/1000, Best Fitness: -0.9656
Generation 469/1000, Best Fitness: -0.9656
